Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Рівненська обл., м. Сарни, вул. Белгородська, буд. 19, поверх 2",46.9,,01.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Рівненська обл., м. Дубно, вул. Данила Галицького, буд. 26, поверх 1",45.5,,01.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Миколаївська обл., Баштанський р-н, м. Баштанка, вул. Полтавська, буд. 17, приміщення 1-11, на 1-му поверсі",49.1,,15.08.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Миколаївська обл., Баштанський р-н, м. Баштанка, вул. Полтавська, буд. 17, приміщення 1-11, на 1-му поверсі",49.1,,15.08.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Миколаїв, вул. Шевченка, буд. 59/3, приміщення (опис:літ. А-2) на 1-му поверсі",64.3,,20.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Костянтинівка, просп. Ломоносова, буд. 127, нежитлове приміщення №5",29.3,,19.10.2020,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Покровськ, вул. Тургенєва, буд. 1, нежитлове приміщення (кімната під оф.) №10, на другому поверсі",27.0,,24.10.2020,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Краматорськ, вул. Катеринича, буд. 17, частина нежилого приміщення на першому поверсі будівлі",155.0,,01.03.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Краматорськ, вул. Катеринича, буд. 17, частина нежилого приміщення на першому поверсі будівлі",155.0,,01.03.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Краматорськ, вул. Катеринича, буд. 17, частина нежилого приміщення на першому поверсі будівлі",11.8,,01.03.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Донецька обл., м. Краматорськ, вул. Катеринича, буд. 17, частина нежилого приміщення на першому поверсі будівлі",11.8,,01.03.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, вул. Свято-Миколаївська, буд. 29, частина нежилого приміщення на першому поверсі та частина нежилого приміщення на цокольному поверсі № 16",128.4,,01.08.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, просп. Тичини Павла, буд. 15, частина нежилого приміщення на другому поверсі",44.2,,23.09.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Дніпрпетровська обл., м. Дніпро, вул. Європейська, буд. 20А, у комплексі багатофункціонального призначення Літ. А-3, нежитлове приміщення № 104, частина нежитлового приміщення № 102а",61.1,,18.02.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Одеська обл., Ізмаїльський р-н, м. Ізмаїл, просп. Суворова, буд. №33-Б, нежитлове приміщення будинку літера ""А"" на першому поверсі.",74.4,,01.10.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Одеська обл., Подільський р-н, м. Подільськ, вул. Сільськогосподарська, буд. 2А, нежитлове приміщення №102, №103",72.8,,08.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Одеська обл., Березівський р-н, м. Березівка, вул. Ворошилова, буд. 4, нежитлове приміщення на другому поверсі.",28.0,,01.03.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Одеська обл., м. Болград, вул. ІНЗОВСЬКА, буд. 121А, нежитлове приміщення на першому поверсі.",21.5,,01.10.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Одеса, вул. Дворянська, буд. 8, нежитлове приміщення на першому поверсі.",153.5,,20.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., Генічеський р-н, м. Генічеськ, просп. Миру, б. 52, нежитл. приміщення №7, 9, пов. 2.",28.8,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., Генічеський р-н, м. Генічеськ, просп. Миру, б. 52, нежитл. приміщення №7, 9, пов. 2.",28.8,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., Генічеський р-н, м. Генічеськ, просп. Миру, б. 52, нежитл. приміщення №7, 9, пов. 2.",28.8,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., Генічеський р-н, м. Генічеськ, просп. Миру, б. 52, нежитл. приміщення №7, 9, пов. 2.",28.8,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Херсон, просп. Ушакова, буд. 16А, приміщення № 5, 6, 7, 8, офісні приміщення № 10 та 11, поверх 1",110.3,,13.09.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., м. Нова Каховка, вул. Французька, б. 4а, нежитл. приміщення №1-1, пов. 1.",57.9,,08.10.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., м. Нова Каховка, вул. Французька, б. 4а, нежитл. приміщення №1-1, пов. 1.",57.9,,08.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., м. Скадовськ, вул. Джарилгацька, б. 155, нежитл. приміщення №1-3, пов. 1.",31.3,,01.10.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Херсонська обл., Бериславський р-н, м. Берислав, вул. Гоголя, буд. 5., нежитлове приміщення №7, поверх. 1",37.6,,15.12.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлові приміщення,"Нежитлові приміщення №8-18, 20-27, 29-30, 34-42, 43-47на 2му поверсі будівлі №1(літ. А) КВЦ ""Парковий"", м. Київ, Паркова дорога, 16А",1828.2,,01.01.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
